scene,floor,question,choices,question_formatted,answer,label,source_image,target_objects,contextual_descriptions,enriched_question
00541-FnDDfrBZPhh,0,Is the TV in the living room closer to the sofa than in the basement?,"['Yes', 'No', 'Same distance', 'Impossible to determine']",Is the TV in the living room closer to the sofa than in the basement? A) Yes B) No C) Same distance D) Impossible to determine. Answer:,A,Relationship,00541-FnDDfrBZPhh_0.png,"[""TV"", ""sofa""]","{""tv"": ""the black television on the stand next to the wall"", ""sofa"": ""the brown fabric sofa in front of the wall""}",Is the black television on the stand next to the wall in the living room closer to the brown fabric sofa in front of the wall than in the basement?
00429-UZ5rYGiwQgW,0,Is the chair positioned in front of the desk in the room?,"['Yes', 'No', 'The chair is beside the desk', 'The chair is behind the desk']",Is the chair positioned in front of the desk in the room? A) Yes B) No C) The chair is beside the desk D) The chair is behind the desk. Answer:,A,Relationship,00429-UZ5rYGiwQgW_1.png,"[""chair"", ""desk""]","{""chair"": ""the black ergonomic chair in front of the desk"", ""desk"": ""the white desk against the wall with computers""}",Is the black ergonomic chair in front of the desk positioned in front of the white desk against the wall with computers in the room?
00472-Xuky7E5df6A,0,Does the painting in the hallway have more vibrant colors than the painting in the living room?,"['Yes', 'No', 'Both have equally vibrant colors', 'It is not visible']",Does the painting in the hallway have more vibrant colors than the painting in the living room? A) Yes B) No C) Both have equally vibrant colors D) It is not visible. Answer:,A,Comparison,00472-Xuky7E5df6A_0.png,"[""painting""]","{""painting"": ""the colorful abstract painting above the sofa""}",Does the colorful abstract painting above the sofa in the hallway have more vibrant colors than the colorful abstract painting above the sofa in the living room?
00038-aJg466zMSNt,0,Does the coat hook face the mirror in this hallway?,"['Yes', 'No', 'Only partially', 'They are adjacent']",Does the coat hook face the mirror in this hallway? A) Yes B) No C) Only partially D) They are adjacent. Answer:,A,Relationship,00038-aJg466zMSNt_0.png,"[""coat hook"", ""mirror""]","{""coat hook"": ""the metallic coat hook above the wooden panel"", ""mirror"": ""the rectangular mirror on the wall next to the door""}",Does the metallic coat hook above the wooden panel face the rectangular mirror on the wall next to the door in this hallway?
00454-vjMVcmpC1hC,0,Is the microwave located higher than the oven in the kitchen?,"['Yes', 'No', 'They are at the same level', 'Unable to determine']",Is the microwave located higher than the oven in the kitchen? A) Yes B) No C) They are at the same level D) Unable to determine. Answer:,A,Comparison,00454-vjMVcmpC1hC_1.png,"[""microwave"", ""oven""]","{""microwave"": ""the white microwave on the kitchen counter next to the oven"", ""oven"": ""the silver oven against the kitchen wall near the microwave""}",Is the white microwave on the kitchen counter next to the oven located higher than the silver oven against the kitchen wall near the microwave in the kitchen?
00765-AuGMayXVFkc,0,Does the window in the bedroom appear larger than the door in the bedroom?,"['Yes', 'No', 'They are the same size', 'Cannot determine']",Does the window in the bedroom appear larger than the door in the bedroom? A) Yes B) No C) They are the same size D) Cannot determine. Answer:,A,Comparison,00765-AuGMayXVFkc_1.png,"[""window"", ""door""]","{""window"": ""the rectangular window above the carpeted floor"", ""door"": ""the white wooden door next to the closet""}",Does the rectangular window above the carpeted floor in the bedroom appear larger than the white wooden door next to the closet in the bedroom?
00140-qWb4MVxqCW7,0,Is the bed larger than the sofa in the room?,"['Yes', 'No', 'They are the same size', 'Cannot determine']",Is the bed larger than the sofa in the room? A) Yes B) No C) They are the same size D) Cannot determine. Answer:,B,Comparison,00140-qWb4MVxqCW7_0.png,"[""bed"", ""sofa""]","{""bed"": ""the unmade white bed positioned against the wall in the corner"", ""sofa"": ""the blue fabric sofa located next to the window""}",Is the unmade white bed positioned against the wall in the corner larger than the blue fabric sofa located next to the window in the room?
00288-27cQLjQ5CjV,0,Does the bed have more pillows on it?,"['Yes', 'No', 'Same number', 'Not visible']",Does the bed have more pillows on it? A) Yes B) No C) Same number D) Not visible. Answer:,A,Attribute,00288-27cQLjQ5CjV_0.png,"[""bed"", ""pillows""]","{""bed"": ""the large white bed against the wall next to the nightstand"", ""pillows"": ""the white pillows stacked on the bed in front of the headboard""}",Does the large white bed against the wall next to the nightstand have more the white pillows stacked on the bed in front of the headboard on it?
00566-qmvPLqLAgvC,0,Is the TV positioned on top of the rug in the living room?,"['Yes', 'No', 'Partially', 'Not visible']",Is the TV positioned on top of the rug in the living room? A) Yes B) No C) Partially D) Not visible. Answer:,B,Relationship,00566-qmvPLqLAgvC_1.png,"[""TV"", ""rug""]","{""tv"": ""the black flat-screen TV mounted on the media console next to the wall"", ""rug"": ""the multicolored patterned rug in front of the television""}",Is the black flat-screen TV mounted on the media console next to the wall positioned on top of the multicolored patterned rug in front of the television in the living room?
00511-8uSpPmctPXC,0,Is the bathtub the same color as the towel in the bathroom?,"['Yes', 'No', 'Only the inner parts are the same color', 'It cannot be determined']",Is the bathtub the same color as the towel in the bathroom? A) Yes B) No C) Only the inner parts are the same color D) It cannot be determined. Answer:,B,Attribute,00511-8uSpPmctPXC_0.png,"[""bathtub"", ""towel""]","{""bathtub"": ""the white porcelain bathtub in front of the yellow wall"", ""towel"": ""the white towel hanging next to the bathtub""}",Is the white porcelain bathtub in front of the yellow wall the same color as the white towel hanging next to the bathtub in the bathroom?
